code_5,code_4,code_3,code_2,code_1,libelle_5,libelle_4,libelle_3,libelle_2,libelle_1
01.11Z,01.11,01.1,01,A,Culture de céréales (à l'exception du riz) de légumineuses et de graines oléagineuses,Culture de céréales (à l'exception du riz) de légumineuses et de graines oléagineuses,Cultures non permanentes,Culture et production animale chasse et services annexes,Agriculture sylviculture et pêche
01.12Z,01.12,01.1,01,A,Culture du riz,Culture du riz,Cultures non permanentes,Culture et production animale chasse et services annexes,Agriculture sylviculture et pêche
01.13Z,01.13,01.1,01,A,Culture de légumes de melons de racines et de tubercules,Culture de légumes de melons de racines et de tubercules,Cultures non permanentes,Culture et production animale chasse et services annexes,Agriculture sylviculture et pêche
01.14Z,01.14,01.1,01,A,Culture de la canne à sucre,Culture de la canne à sucre,Cultures non permanentes,Culture et production animale chasse et services annexes,Agriculture sylviculture et pêche
01.15Z,01.15,01.1,01,A,Culture du tabac,Culture du tabac,Cultures non permanentes,Culture et production animale chasse et services annexes,Agriculture sylviculture et pêche
01.16Z,01.16,01.1,01,A,Culture de plantes à fibres,Culture de plantes à fibres,Cultures non permanentes,Culture et production animale chasse et services annexes,Agriculture sylviculture et pêche
01.19Z,01.19,01.1,01,A,Autres cultures non permanentes,Autres cultures non permanentes,Cultures non permanentes,Culture et production animale chasse et services annexes,Agriculture sylviculture et pêche
01.21Z,01.21,01.2,01,A,Culture de la vigne,Culture de la vigne,Cultures permanentes,Culture et production animale chasse et services annexes,Agriculture sylviculture et pêche
01.22Z,01.22,01.2,01,A,Culture de fruits tropicaux et subtropicaux,Culture de fruits tropicaux et subtropicaux,Cultures permanentes,Culture et production animale chasse et services annexes,Agriculture sylviculture et pêche
01.23Z,01.23,01.2,01,A,Culture d'agrumes,Culture d'agrumes,Cultures permanentes,Culture et production animale chasse et services annexes,Agriculture sylviculture et pêche
01.24Z,01.24,01.2,01,A,Culture de fruits à pépins et à noyau,Culture de fruits à pépins et à noyau,Cultures permanentes,Culture et production animale chasse et services annexes,Agriculture sylviculture et pêche
01.25Z,01.25,01.2,01,A,Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque,Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque,Cultures permanentes,Culture et production animale chasse et services annexes,Agriculture sylviculture et pêche
01.26Z,01.26,01.2,01,A,Culture de fruits oléagineux,Culture de fruits oléagineux,Cultures permanentes,Culture et production animale chasse et services annexes,Agriculture sylviculture et pêche
01.27Z,01.27,01.2,01,A,Culture de plantes à boissons,Culture de plantes à boissons,Cultures permanentes,Culture et production animale chasse et services annexes,Agriculture sylviculture et pêche
01.28Z,01.28,01.2,01,A,Culture de plantes à épices aromatiques médicinales et pharmaceutiques,Culture de plantes à épices aromatiques médicinales et pharmaceutiques,Cultures permanentes,Culture et production animale chasse et services annexes,Agriculture sylviculture et pêche
01.29Z,01.29,01.2,01,A,Autres cultures permanentes,Autres cultures permanentes,Cultures permanentes,Culture et production animale chasse et services annexes,Agriculture sylviculture et pêche
01.30Z,01.30,01.3,01,A,Reproduction de plantes,Reproduction de plantes,Reproduction de plantes,Culture et production animale chasse et services annexes,Agriculture sylviculture et pêche
01.41Z,01.41,01.4,01,A,Élevage de vaches laitières,Élevage de vaches laitières,Production animale,Culture et production animale chasse et services annexes,Agriculture sylviculture et pêche
01.42Z,01.42,01.4,01,A,Élevage d'autres bovins et de buffles,Élevage d'autres bovins et de buffles,Production animale,Culture et production animale chasse et services annexes,Agriculture sylviculture et pêche
01.43Z,01.43,01.4,01,A,Élevage de chevaux et d'autres équidés,Élevage de chevaux et d'autres équidés,Production animale,Culture et production animale chasse et services annexes,Agriculture sylviculture et pêche
01.44Z,01.44,01.4,01,A,Élevage de chameaux et d'autres camélidés,Élevage de chameaux et d'autres camélidés,Production animale,Culture et production animale chasse et services annexes,Agriculture sylviculture et pêche
01.45Z,01.45,01.4,01,A,Élevage d'ovins et de caprins,Élevage d'ovins et de caprins,Production animale,Culture et production animale chasse et services annexes,Agriculture sylviculture et pêche
01.46Z,01.46,01.4,01,A,Élevage de porcins,Élevage de porcins,Production animale,Culture et production animale chasse et services annexes,Agriculture sylviculture et pêche
01.47Z,01.47,01.4,01,A,Élevage de volailles,Élevage de volailles,Production animale,Culture et production animale chasse et services annexes,Agriculture sylviculture et pêche
01.49Z,01.49,01.4,01,A,Élevage d'autres animaux,Élevage d'autres animaux,Production animale,Culture et production animale chasse et services annexes,Agriculture sylviculture et pêche
01.50Z,01.50,01.5,01,A,Culture et élevage associés,Culture et élevage associés,Culture et élevage associés,Culture et production animale chasse et services annexes,Agriculture sylviculture et pêche
01.61Z,01.61,01.6,01,A,Activités de soutien aux cultures,Activités de soutien aux cultures,Activités de soutien à l'agriculture et traitement primaire des récoltes,Culture et production animale chasse et services annexes,Agriculture sylviculture et pêche
01.62Z,01.62,01.6,01,A,Activités de soutien à la production animale,Activités de soutien à la production animale,Activités de soutien à l'agriculture et traitement primaire des récoltes,Culture et production animale chasse et services annexes,Agriculture sylviculture et pêche
01.63Z,01.63,01.6,01,A,Traitement primaire des récoltes,Traitement primaire des récoltes,Activités de soutien à l'agriculture et traitement primaire des récoltes,Culture et production animale chasse et services annexes,Agriculture sylviculture et pêche
01.64Z,01.64,01.6,01,A,Traitement des semences,Traitement des semences,Activités de soutien à l'agriculture et traitement primaire des récoltes,Culture et production animale chasse et services annexes,Agriculture sylviculture et pêche
01.70Z,01.70,01.7,01,A,Chasse piégeage et services annexes,Chasse piégeage et services annexes,Chasse piégeage et services annexes,Culture et production animale chasse et services annexes,Agriculture sylviculture et pêche
02.10Z,02.10,02.1,02,A,Sylviculture et autres activités forestières,Sylviculture et autres activités forestières,Sylviculture et autres activités forestières,Sylviculture et exploitation forestière,Agriculture sylviculture et pêche
02.20Z,02.20,02.2,02,A,Exploitation forestière,Exploitation forestière,Exploitation forestière,Sylviculture et exploitation forestière,Agriculture sylviculture et pêche
02.30Z,02.30,02.3,02,A,Récolte de produits forestiers non ligneux poussant à l'état sauvage,Récolte de produits forestiers non ligneux poussant à l'état sauvage,Récolte de produits forestiers non ligneux poussant à l'état sauvage,Sylviculture et exploitation forestière,Agriculture sylviculture et pêche
02.40Z,02.40,02.4,02,A,Services de soutien à l'exploitation forestière,Services de soutien à l'exploitation forestière,Services de soutien à l'exploitation forestière,Sylviculture et exploitation forestière,Agriculture sylviculture et pêche
03.11Z,03.11,03.1,03,A,Pêche en mer,Pêche en mer,Pêche,Pêche et aquaculture,Agriculture sylviculture et pêche
03.12Z,03.12,03.1,03,A,Pêche en eau douce,Pêche en eau douce,Pêche,Pêche et aquaculture,Agriculture sylviculture et pêche
03.21Z,03.21,03.2,03,A,Aquaculture en mer,Aquaculture en mer,Aquaculture,Pêche et aquaculture,Agriculture sylviculture et pêche
03.22Z,03.22,03.2,03,A,Aquaculture en eau douce,Aquaculture en eau douce,Aquaculture,Pêche et aquaculture,Agriculture sylviculture et pêche
05.10Z,05.10,05.1,05,B,Extraction de houille,Extraction de houille,Extraction de houille,Extraction de houille et de lignite,Industries extractives
05.20Z,05.20,05.2,05,B,Extraction de lignite,Extraction de lignite,Extraction de lignite,Extraction de houille et de lignite,Industries extractives
06.10Z,06.10,06.1,06,B,Extraction de pétrole brut,Extraction de pétrole brut,Extraction de pétrole brut,Extraction d'hydrocarbures,Industries extractives
06.20Z,06.20,06.2,06,B,Extraction de gaz naturel,Extraction de gaz naturel,Extraction de gaz naturel,Extraction d'hydrocarbures,Industries extractives
07.10Z,07.10,07.1,07,B,Extraction de minerais de fer,Extraction de minerais de fer,Extraction de minerais de fer,Extraction de minerais métalliques,Industries extractives
07.21Z,07.21,07.2,07,B,Extraction de minerais d'uranium et de thorium,Extraction de minerais d'uranium et de thorium,Extraction de minerais de métaux non ferreux,Extraction de minerais métalliques,Industries extractives
07.29Z,07.29,07.2,07,B,Extraction d'autres minerais de métaux non ferreux,Extraction d'autres minerais de métaux non ferreux,Extraction de minerais de métaux non ferreux,Extraction de minerais métalliques,Industries extractives
08.11Z,08.11,08.1,08,B,Extraction de pierres ornementales et de construction de calcaire industriel de gypse de craie et d'ardoise,Extraction de pierres ornementales et de construction de calcaire industriel de gypse de craie et d'ardoise,Extraction de pierres de sables et d'argiles,Autres industries extractives,Industries extractives
08.12Z,08.12,08.1,08,B,Exploitation de gravières et sablières extraction d'argiles et de kaolin,Exploitation de gravières et sablières extraction d'argiles et de kaolin,Extraction de pierres de sables et d'argiles,Autres industries extractives,Industries extractives
08.91Z,08.91,08.9,08,B,Extraction des minéraux chimiques et d'engrais minéraux,Extraction des minéraux chimiques et d'engrais minéraux,Activités extractives n.c.a.,Autres industries extractives,Industries extractives
08.92Z,08.92,08.9,08,B,Extraction de tourbe,Extraction de tourbe,Activités extractives n.c.a.,Autres industries extractives,Industries extractives
08.93Z,08.93,08.9,08,B,Production de sel,Production de sel,Activités extractives n.c.a.,Autres industries extractives,Industries extractives
08.99Z,08.99,08.9,08,B,Autres activités extractives n.c.a.,Autres activités extractives n.c.a.,Activités extractives n.c.a.,Autres industries extractives,Industries extractives
09.10Z,09.10,09.1,09,B,Activités de soutien à l'extraction d'hydrocarbures,Activités de soutien à l'extraction d'hydrocarbures,Activités de soutien à l'extraction d'hydrocarbures,Services de soutien aux industries extractives,Industries extractives
09.90Z,09.90,09.9,09,B,Activités de soutien aux autres industries extractives,Activités de soutien aux autres industries extractives,Activités de soutien aux autres industries extractives,Services de soutien aux industries extractives,Industries extractives
10.11Z,10.11,10.1,10,C,Transformation et conservation de la viande de boucherie,Transformation et conservation de la viande de boucherie,Transformation et conservation de la viande et préparation de produits à base de viande,Industries alimentaires,Industrie manufacturière
10.12Z,10.12,10.1,10,C,Transformation et conservation de la viande de volaille,Transformation et conservation de la viande de volaille,Transformation et conservation de la viande et préparation de produits à base de viande,Industries alimentaires,Industrie manufacturière
10.13A,10.13,10.1,10,C,Préparation industrielle de produits à base de viande,Préparation de produits à base de viande,Transformation et conservation de la viande et préparation de produits à base de viande,Industries alimentaires,Industrie manufacturière
10.13B,10.13,10.1,10,C,Charcuterie,Préparation de produits à base de viande,Transformation et conservation de la viande et préparation de produits à base de viande,Industries alimentaires,Industrie manufacturière
10.20Z,10.20,10.2,10,C,Transformation et conservation de poisson de crustacés et de mollusques,Transformation et conservation de poisson de crustacés et de mollusques,Transformation et conservation de poisson de crustacés et de mollusques,Industries alimentaires,Industrie manufacturière
10.31Z,10.31,10.3,10,C,Transformation et conservation de pommes de terre,Transformation et conservation de pommes de terre,Transformation et conservation de fruits et légumes,Industries alimentaires,Industrie manufacturière
10.32Z,10.32,10.3,10,C,Préparation de jus de fruits et légumes,Préparation de jus de fruits et légumes,Transformation et conservation de fruits et légumes,Industries alimentaires,Industrie manufacturière
10.39A,10.39,10.3,10,C,Autre transformation et conservation de légumes,Autre transformation et conservation de fruits et légumes,Transformation et conservation de fruits et légumes,Industries alimentaires,Industrie manufacturière
10.39B,10.39,10.3,10,C,Transformation et conservation de fruits,Autre transformation et conservation de fruits et légumes,Transformation et conservation de fruits et légumes,Industries alimentaires,Industrie manufacturière
10.41A,10.41,10.4,10,C,Fabrication d'huiles et graisses brutes,Fabrication d'huiles et graisses,Fabrication d'huiles et graisses végétales et animales,Industries alimentaires,Industrie manufacturière
10.41B,10.41,10.4,10,C,Fabrication d'huiles et graisses raffinées,Fabrication d'huiles et graisses,Fabrication d'huiles et graisses végétales et animales,Industries alimentaires,Industrie manufacturière
10.42Z,10.42,10.4,10,C,Fabrication de margarine et graisses comestibles similaires,Fabrication de margarine et graisses comestibles similaires,Fabrication d'huiles et graisses végétales et animales,Industries alimentaires,Industrie manufacturière
10.51A,10.51,10.5,10,C,Fabrication de lait liquide et de produits frais,Exploitation de laiteries et fabrication de fromage,Fabrication de produits laitiers,Industries alimentaires,Industrie manufacturière
10.51B,10.51,10.5,10,C,Fabrication de beurre,Exploitation de laiteries et fabrication de fromage,Fabrication de produits laitiers,Industries alimentaires,Industrie manufacturière
10.51C,10.51,10.5,10,C,Fabrication de fromage,Exploitation de laiteries et fabrication de fromage,Fabrication de produits laitiers,Industries alimentaires,Industrie manufacturière
10.51D,10.51,10.5,10,C,Fabrication d'autres produits laitiers,Exploitation de laiteries et fabrication de fromage,Fabrication de produits laitiers,Industries alimentaires,Industrie manufacturière
10.52Z,10.52,10.5,10,C,Fabrication de glaces et sorbets,Fabrication de glaces et sorbets,Fabrication de produits laitiers,Industries alimentaires,Industrie manufacturière
10.61A,10.61,10.6,10,C,Meunerie,Travail des grains,Travail des grains  fabrication de produits amylacés,Industries alimentaires,Industrie manufacturière
10.61B,10.61,10.6,10,C,Autres activités du travail des grains,Travail des grains,Travail des grains  fabrication de produits amylacés,Industries alimentaires,Industrie manufacturière
10.62Z,10.62,10.6,10,C,Fabrication de produits amylacés,Fabrication de produits amylacés,Travail des grains  fabrication de produits amylacés,Industries alimentaires,Industrie manufacturière
10.71A,10.71,10.7,10,C,Fabrication industrielle de pain et de pâtisserie fraîche,Fabrication de pain et de pâtisserie fraîche,Fabrication de produits de boulangerie-pâtisserie et de pâtes alimentaires,Industries alimentaires,Industrie manufacturière
10.71B,10.71,10.7,10,C,Cuisson de produits de boulangerie,Fabrication de pain et de pâtisserie fraîche,Fabrication de produits de boulangerie-pâtisserie et de pâtes alimentaires,Industries alimentaires,Industrie manufacturière
10.71C,10.71,10.7,10,C,Boulangerie et boulangerie-pâtisserie,Fabrication de pain et de pâtisserie fraîche,Fabrication de produits de boulangerie-pâtisserie et de pâtes alimentaires,Industries alimentaires,Industrie manufacturière
10.71D,10.71,10.7,10,C,Pâtisserie,Fabrication de pain et de pâtisserie fraîche,Fabrication de produits de boulangerie-pâtisserie et de pâtes alimentaires,Industries alimentaires,Industrie manufacturière
10.72Z,10.72,10.7,10,C,Fabrication de biscuits biscottes et pâtisseries de conservation,Fabrication de biscuits biscottes et pâtisseries de conservation,Fabrication de produits de boulangerie-pâtisserie et de pâtes alimentaires,Industries alimentaires,Industrie manufacturière
10.73Z,10.73,10.7,10,C,Fabrication de pâtes alimentaires,Fabrication de pâtes alimentaires,Fabrication de produits de boulangerie-pâtisserie et de pâtes alimentaires,Industries alimentaires,Industrie manufacturière
10.81Z,10.81,10.8,10,C,Fabrication de sucre,Fabrication de sucre,Fabrication d'autres produits alimentaires,Industries alimentaires,Industrie manufacturière
10.82Z,10.82,10.8,10,C,Fabrication de cacao chocolat et de produits de confiserie,Fabrication de cacao chocolat et de produits de confiserie,Fabrication d'autres produits alimentaires,Industries alimentaires,Industrie manufacturière
10.83Z,10.83,10.8,10,C,Transformation du thé et du café,Transformation du thé et du café,Fabrication d'autres produits alimentaires,Industries alimentaires,Industrie manufacturière
10.84Z,10.84,10.8,10,C,Fabrication de condiments et assaisonnements,Fabrication de condiments et assaisonnements,Fabrication d'autres produits alimentaires,Industries alimentaires,Industrie manufacturière
10.85Z,10.85,10.8,10,C,Fabrication de plats préparés,Fabrication de plats préparés,Fabrication d'autres produits alimentaires,Industries alimentaires,Industrie manufacturière
10.86Z,10.86,10.8,10,C,Fabrication d'aliments homogénéisés et diététiques,Fabrication d'aliments homogénéisés et diététiques,Fabrication d'autres produits alimentaires,Industries alimentaires,Industrie manufacturière
10.89Z,10.89,10.8,10,C,Fabrication d'autres produits alimentaires n.c.a.,Fabrication d'autres produits alimentaires n.c.a.,Fabrication d'autres produits alimentaires,Industries alimentaires,Industrie manufacturière
10.91Z,10.91,10.9,10,C,Fabrication d'aliments pour animaux de ferme,Fabrication d'aliments pour animaux de ferme,Fabrication d'aliments pour animaux,Industries alimentaires,Industrie manufacturière
10.92Z,10.92,10.9,10,C,Fabrication d'aliments pour animaux de compagnie,Fabrication d'aliments pour animaux de compagnie,Fabrication d'aliments pour animaux,Industries alimentaires,Industrie manufacturière
11.01Z,11.01,11.0,11,C,Production de boissons alcooliques distillées,Production de boissons alcooliques distillées,Fabrication de boissons,Fabrication de boissons,Industrie manufacturière
11.02A,11.02,11.0,11,C,Fabrication de vins effervescents,Production de vin (de raisin),Fabrication de boissons,Fabrication de boissons,Industrie manufacturière
11.02B,11.02,11.0,11,C,Vinification,Production de vin (de raisin),Fabrication de boissons,Fabrication de boissons,Industrie manufacturière
11.03Z,11.03,11.0,11,C,Fabrication de cidre et de vins de fruits,Fabrication de cidre et de vins de fruits,Fabrication de boissons,Fabrication de boissons,Industrie manufacturière
11.04Z,11.04,11.0,11,C,Production d'autres boissons fermentées non distillées,Production d'autres boissons fermentées non distillées,Fabrication de boissons,Fabrication de boissons,Industrie manufacturière
11.05Z,11.05,11.0,11,C,Fabrication de bière,Fabrication de bière,Fabrication de boissons,Fabrication de boissons,Industrie manufacturière
11.06Z,11.06,11.0,11,C,Fabrication de malt,Fabrication de malt,Fabrication de boissons,Fabrication de boissons,Industrie manufacturière
11.07A,11.07,11.0,11,C,Industrie des eaux de table,Industrie des eaux minérales et autres eaux embouteillées et des boissons rafraîchissantes,Fabrication de boissons,Fabrication de boissons,Industrie manufacturière
11.07B,11.07,11.0,11,C,Production de boissons rafraîchissantes,Industrie des eaux minérales et autres eaux embouteillées et des boissons rafraîchissantes,Fabrication de boissons,Fabrication de boissons,Industrie manufacturière
12.00Z,12.00,12.0,12,C,Fabrication de produits à base de tabac,Fabrication de produits à base de tabac,Fabrication de produits à base de tabac,Fabrication de produits à base de tabac,Industrie manufacturière
13.10Z,13.10,13.1,13,C,Préparation de fibres textiles et filature,Préparation de fibres textiles et filature,Préparation de fibres textiles et filature,Fabrication de textiles,Industrie manufacturière
13.20Z,13.20,13.2,13,C,Tissage,Tissage,Tissage,Fabrication de textiles,Industrie manufacturière
13.30Z,13.30,13.3,13,C,Ennoblissement textile,Ennoblissement textile,Ennoblissement textile,Fabrication de textiles,Industrie manufacturière
13.91Z,13.91,13.9,13,C,Fabrication d'étoffes à mailles,Fabrication d'étoffes à mailles,Fabrication d'autres textiles,Fabrication de textiles,Industrie manufacturière
13.92Z,13.92,13.9,13,C,Fabrication d'articles textiles sauf habillement,Fabrication d'articles textiles sauf habillement,Fabrication d'autres textiles,Fabrication de textiles,Industrie manufacturière
13.93Z,13.93,13.9,13,C,Fabrication de tapis et moquettes,Fabrication de tapis et moquettes,Fabrication d'autres textiles,Fabrication de textiles,Industrie manufacturière
13.94Z,13.94,13.9,13,C,Fabrication de ficelles cordes et filets,Fabrication de ficelles cordes et filets,Fabrication d'autres textiles,Fabrication de textiles,Industrie manufacturière
13.95Z,13.95,13.9,13,C,Fabrication de non-tissés sauf habillement,Fabrication de non-tissés sauf habillement,Fabrication d'autres textiles,Fabrication de textiles,Industrie manufacturière
13.96Z,13.96,13.9,13,C,Fabrication d'autres textiles techniques et industriels,Fabrication d'autres textiles techniques et industriels,Fabrication d'autres textiles,Fabrication de textiles,Industrie manufacturière
13.99Z,13.99,13.9,13,C,Fabrication d'autres textiles n.c.a.,Fabrication d'autres textiles n.c.a.,Fabrication d'autres textiles,Fabrication de textiles,Industrie manufacturière
14.11Z,14.11,14.1,14,C,Fabrication de vêtements en cuir,Fabrication de vêtements en cuir,Fabrication de vêtements autres qu'en fourrure,Industrie de l'habillement,Industrie manufacturière
14.12Z,14.12,14.1,14,C,Fabrication de vêtements de travail,Fabrication de vêtements de travail,Fabrication de vêtements autres qu'en fourrure,Industrie de l'habillement,Industrie manufacturière
14.13Z,14.13,14.1,14,C,Fabrication de vêtements de dessus,Fabrication de vêtements de dessus,Fabrication de vêtements autres qu'en fourrure,Industrie de l'habillement,Industrie manufacturière
14.14Z,14.14,14.1,14,C,Fabrication de vêtements de dessous,Fabrication de vêtements de dessous,Fabrication de vêtements autres qu'en fourrure,Industrie de l'habillement,Industrie manufacturière
14.19Z,14.19,14.1,14,C,Fabrication d'autres vêtements et accessoires,Fabrication d'autres vêtements et accessoires,Fabrication de vêtements autres qu'en fourrure,Industrie de l'habillement,Industrie manufacturière
14.20Z,14.20,14.2,14,C,Fabrication d'articles en fourrure,Fabrication d'articles en fourrure,Fabrication d'articles en fourrure,Industrie de l'habillement,Industrie manufacturière
14.31Z,14.31,14.3,14,C,Fabrication d'articles chaussants à mailles,Fabrication d'articles chaussants à mailles,Fabrication d'articles à mailles,Industrie de l'habillement,Industrie manufacturière
14.39Z,14.39,14.3,14,C,Fabrication d'autres articles à mailles,Fabrication d'autres articles à mailles,Fabrication d'articles à mailles,Industrie de l'habillement,Industrie manufacturière
15.11Z,15.11,15.1,15,C,Apprêt et tannage des cuirs  préparation et teinture des fourrures,Apprêt et tannage des cuirs  préparation et teinture des fourrures,Apprêt et tannage des cuirs  préparation et teinture des fourrures  fabrication d'articles de voyage de maroquinerie et de sellerie,Industrie du cuir et de la chaussure,Industrie manufacturière
15.12Z,15.12,15.1,15,C,Fabrication d'articles de voyage de maroquinerie et de sellerie,Fabrication d'articles de voyage de maroquinerie et de sellerie,Apprêt et tannage des cuirs  préparation et teinture des fourrures  fabrication d'articles de voyage de maroquinerie et de sellerie,Industrie du cuir et de la chaussure,Industrie manufacturière
15.20Z,15.20,15.2,15,C,Fabrication de chaussures,Fabrication de chaussures,Fabrication de chaussures,Industrie du cuir et de la chaussure,Industrie manufacturière
16.10A,16.10,16.1,16,C,Sciage et rabotage du bois hors imprégnation,Sciage et rabotage du bois,Sciage et rabotage du bois,Travail du bois et fabrication d'articles en bois et en liège à l'exception des meubles  fabrication d'articles en vannerie et sparterie,Industrie manufacturière
16.10B,16.10,16.1,16,C,Imprégnation du bois,Sciage et rabotage du bois,Sciage et rabotage du bois,Travail du bois et fabrication d'articles en bois et en liège à l'exception des meubles  fabrication d'articles en vannerie et sparterie,Industrie manufacturière
16.21Z,16.21,16.2,16,C,Fabrication de placage et de panneaux de bois,Fabrication de placage et de panneaux de bois,Fabrication d'articles en bois liège vannerie et sparterie,Travail du bois et fabrication d'articles en bois et en liège à l'exception des meubles  fabrication d'articles en vannerie et sparterie,Industrie manufacturière
16.22Z,16.22,16.2,16,C,Fabrication de parquets assemblés,Fabrication de parquets assemblés,Fabrication d'articles en bois liège vannerie et sparterie,Travail du bois et fabrication d'articles en bois et en liège à l'exception des meubles  fabrication d'articles en vannerie et sparterie,Industrie manufacturière
16.23Z,16.23,16.2,16,C,Fabrication de charpentes et d'autres menuiseries,Fabrication de charpentes et d'autres menuiseries,Fabrication d'articles en bois liège vannerie et sparterie,Travail du bois et fabrication d'articles en bois et en liège à l'exception des meubles  fabrication d'articles en vannerie et sparterie,Industrie manufacturière
16.24Z,16.24,16.2,16,C,Fabrication d'emballages en bois,Fabrication d'emballages en bois,Fabrication d'articles en bois liège vannerie et sparterie,Travail du bois et fabrication d'articles en bois et en liège à l'exception des meubles  fabrication d'articles en vannerie et sparterie,Industrie manufacturière
16.29Z,16.29,16.2,16,C,Fabrication d'objets divers en bois  fabrication d'objets en liège vannerie et sparterie,Fabrication d'objets divers en bois  fabrication d'objets en liège vannerie et sparterie,Fabrication d'articles en bois liège vannerie et sparterie,Travail du bois et fabrication d'articles en bois et en liège à l'exception des meubles  fabrication d'articles en vannerie et sparterie,Industrie manufacturière
17.11Z,17.11,17.1,17,C,Fabrication de pâte à papier,Fabrication de pâte à papier,Fabrication de pâte à papier de papier et de carton,Industrie du papier et du carton,Industrie manufacturière
17.12Z,17.12,17.1,17,C,Fabrication de papier et de carton,Fabrication de papier et de carton,Fabrication de pâte à papier de papier et de carton,Industrie du papier et du carton,Industrie manufacturière
17.21A,17.21,17.2,17,C,Fabrication de carton ondulé,Fabrication de papier et carton ondulés et d'emballages en papier ou en carton,Fabrication d'articles en papier ou en carton,Industrie du papier et du carton,Industrie manufacturière
17.21B,17.21,17.2,17,C,Fabrication de cartonnages,Fabrication de papier et carton ondulés et d'emballages en papier ou en carton,Fabrication d'articles en papier ou en carton,Industrie du papier et du carton,Industrie manufacturière
17.21C,17.21,17.2,17,C,Fabrication d'emballages en papier,Fabrication de papier et carton ondulés et d'emballages en papier ou en carton,Fabrication d'articles en papier ou en carton,Industrie du papier et du carton,Industrie manufacturière
17.22Z,17.22,17.2,17,C,Fabrication d'articles en papier à usage sanitaire ou domestique,Fabrication d'articles en papier à usage sanitaire ou domestique,Fabrication d'articles en papier ou en carton,Industrie du papier et du carton,Industrie manufacturière
17.23Z,17.23,17.2,17,C,Fabrication d'articles de papeterie,Fabrication d'articles de papeterie,Fabrication d'articles en papier ou en carton,Industrie du papier et du carton,Industrie manufacturière
17.24Z,17.24,17.2,17,C,Fabrication de papiers peints,Fabrication de papiers peints,Fabrication d'articles en papier ou en carton,Industrie du papier et du carton,Industrie manufacturière
17.29Z,17.29,17.2,17,C,Fabrication d'autres articles en papier ou en carton,Fabrication d'autres articles en papier ou en carton,Fabrication d'articles en papier ou en carton,Industrie du papier et du carton,Industrie manufacturière
18.11Z,18.11,18.1,18,C,Imprimerie de journaux,Imprimerie de journaux,Imprimerie et services annexes,Imprimerie et reproduction d'enregistrements,Industrie manufacturière
18.12Z,18.12,18.1,18,C,Autre imprimerie (labeur),Autre imprimerie (labeur),Imprimerie et services annexes,Imprimerie et reproduction d'enregistrements,Industrie manufacturière
18.13Z,18.13,18.1,18,C,Activités de pré-presse,Activités de pré-presse,Imprimerie et services annexes,Imprimerie et reproduction d'enregistrements,Industrie manufacturière
18.14Z,18.14,18.1,18,C,Reliure et activités connexes,Reliure et activités connexes,Imprimerie et services annexes,Imprimerie et reproduction d'enregistrements,Industrie manufacturière
18.20Z,18.20,18.2,18,C,Reproduction d'enregistrements,Reproduction d'enregistrements,Reproduction d'enregistrements,Imprimerie et reproduction d'enregistrements,Industrie manufacturière
19.10Z,19.10,19.1,19,C,Cokéfaction,Cokéfaction,Cokéfaction,Cokéfaction et raffinage,Industrie manufacturière
19.20Z,19.20,19.2,19,C,Raffinage du pétrole,Raffinage du pétrole,Raffinage du pétrole,Cokéfaction et raffinage,Industrie manufacturière
20.11Z,20.11,20.1,20,C,Fabrication de gaz industriels,Fabrication de gaz industriels,Fabrication de produits chimiques de base de produits azotés et d'engrais de matières plastiques de base et de caoutchouc synthétique,Industrie chimique,Industrie manufacturière
20.12Z,20.12,20.1,20,C,Fabrication de colorants et de pigments,Fabrication de colorants et de pigments,Fabrication de produits chimiques de base de produits azotés et d'engrais de matières plastiques de base et de caoutchouc synthétique,Industrie chimique,Industrie manufacturière
20.13A,20.13,20.1,20,C,Enrichissement et retraitement de matières nucléaires,Fabrication d'autres produits chimiques inorganiques de base,Fabrication de produits chimiques de base de produits azotés et d'engrais de matières plastiques de base et de caoutchouc synthétique,Industrie chimique,Industrie manufacturière
20.13B,20.13,20.1,20,C,Fabrication d'autres produits chimiques inorganiques de base n.c.a.,Fabrication d'autres produits chimiques inorganiques de base,Fabrication de produits chimiques de base de produits azotés et d'engrais de matières plastiques de base et de caoutchouc synthétique,Industrie chimique,Industrie manufacturière
20.14Z,20.14,20.1,20,C,Fabrication d'autres produits chimiques organiques de base,Fabrication d'autres produits chimiques organiques de base,Fabrication de produits chimiques de base de produits azotés et d'engrais de matières plastiques de base et de caoutchouc synthétique,Industrie chimique,Industrie manufacturière
20.15Z,20.15,20.1,20,C,Fabrication de produits azotés et d'engrais,Fabrication de produits azotés et d'engrais,Fabrication de produits chimiques de base de produits azotés et d'engrais de matières plastiques de base et de caoutchouc synthétique,Industrie chimique,Industrie manufacturière
20.16Z,20.16,20.1,20,C,Fabrication de matières plastiques de base,Fabrication de matières plastiques de base,Fabrication de produits chimiques de base de produits azotés et d'engrais de matières plastiques de base et de caoutchouc synthétique,Industrie chimique,Industrie manufacturière
20.17Z,20.17,20.1,20,C,Fabrication de caoutchouc synthétique,Fabrication de caoutchouc synthétique,Fabrication de produits chimiques de base de produits azotés et d'engrais de matières plastiques de base et de caoutchouc synthétique,Industrie chimique,Industrie manufacturière
